sep=,
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.dll,6.0.1304.0,6.0.0.0
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.ServiceBus.dll,6.0.1304.0,6.0.0.0
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.WindowsAzure.Storage.dll,6.0.1304.0,6.0.0.0
Microsoft.ServiceBus.dll,3.0.51093.7,3.0.0.0
Microsoft.Spatial.dll,7.5.0.20627,7.5.0.20627
Microsoft.Web.Deployment.dll,7.1.600.0,7.1.0.0
Microsoft.Web.Infrastructure.dll,1.0.20105.407,1.0.0.0
MongoDB.Bson.dll,2.6.1.0,2.6.1.0
MongoDB.Driver.Core.dll,2.6.1.0,2.6.1.0
MongoDB.Driver.dll,2.6.1.0,2.6.1.0
MongoDB.Driver.Legacy.dll,2.6.1.0,2.6.1.0
Mvp.Xml.dll,2.3.0.0,2.3.0.0
Newtonsoft.Json.dll,11.0.2.21924,11.0.0.0
Owin.dll,1.0.0.0,1.0.0.0
PdfSharp.Charting.dll,1.50.4740.0,1.50.4740.0
PdfSharp.dll,1.50.4740.0,1.50.4740.0
protobuf-net.dll,2.0.0.668,2.0.0.668
RazorGenerator.Mvc.dll,2.0.0.0,2.0.0.0
Rebus.AzureServiceBus.dll,4.0.1.0,4.0.1.0
Rebus.dll,4.2.1.0,4.2.1.0
Rebus.SqlServer.dll,4.0.0.0,4.0.0.0
Remotion.Linq.dll,2.2.0.30000,2.2.0.0
Serilog.dll,2.6.0.0,2.0.0.0
Serilog.Extensions.Logging.dll,2.0.2.0,2.0.0.0
Serilog.Settings.Configuration.dll,2.6.1.0,2.6.1.0
Sitecore.Abstractions.dll,12.0.0.0,12.0.0.0
Sitecore.Analytics.Aggregation.dll,12.0.0.0,12.0.0.0
Sitecore.Analytics.Core.dll,12.0.0.0,12.0.0.0
Sitecore.Analytics.DataAccess.dll,12.0.0.0,12.0.0.0
Sitecore.Analytics.dll,12.0.0.0,12.0.0.0
Sitecore.Analytics.Model.dll,12.0.0.0,12.0.0.0
Sitecore.Analytics.OmniChannel.dll,12.0.0.0,12.0.0.0
Sitecore.Analytics.Processing.dll,12.0.0.0,12.0.0.0
Sitecore.Analytics.RobotDetection.dll,12.0.0.0,12.0.0.0
Sitecore.Analytics.Sql.dll,12.0.0.0,12.0.0.0
Sitecore.Analytics.XConnect.dll,12.0.0.0,12.0.0.0
Sitecore.Apps.Loader.dll,3.0.0.0,3.0.0.0
Sitecore.Buckets.Client.dll,4.0.0.0,4.0.0.0
Sitecore.Buckets.dll,4.0.0.0,4.0.0.0
Sitecore.CES.DeviceDetection.dll,3.0.0.0,3.0.0.0
Sitecore.CES.DeviceDetection.Rules.dll,3.0.0.0,3.0.0.0
Sitecore.CES.dll,3.0.0.0,3.0.0.0
Sitecore.CES.GeoIp.Core.dll,3.0.0.0,3.0.0.0
Sitecore.CES.GeoIp.dll,3.0.0.0,3.0.0.0
Sitecore.CES.GeoIp.IpFiltering.dll,3.0.0.0,3.0.0.0
Sitecore.CES.GeoIp.LegacyLocation.dll,3.0.0.0,3.0.0.0
Sitecore.Cintel.Client.dll,4.0.0.0,4.0.0.0
Sitecore.Cintel.dll,4.0.0.0,4.0.0.0
Sitecore.Client.dll,12.0.0.0,12.0.0.0
Sitecore.Client.LicenseOptions.dll,3.0.0.0,3.0.0.0
Sitecore.Cloud.Nexus.dll,4.0.0.8,4.0.0.0
Sitecore.Content.Services.dll,3.0.0.0,3.0.0.0
Sitecore.ContentSearch.Azure.dll,4.0.0.0,4.0.0.0
Sitecore.ContentSearch.Client.dll,4.0.0.0,4.0.0.0
Sitecore.ContentSearch.ContentExtraction.dll,4.0.0.0,4.0.0.0
Sitecore.ContentSearch.Data.dll,4.0.0.0,4.0.0.0
Sitecore.ContentSearch.dll,4.0.0.0,4.0.0.0
Sitecore.ContentSearch.Linq.dll,4.0.0.0,4.0.0.0
Sitecore.ContentSearch.Linq.Lucene.dll,4.0.0.0,4.0.0.0
Sitecore.ContentSearch.Linq.Solr.dll,4.0.0.0,4.0.0.0
Sitecore.ContentSearch.LuceneProvider.dll,4.0.0.0,4.0.0.0
Sitecore.ContentSearch.SolrNetExtension.dll,4.0.0.0,4.0.0.0
Sitecore.ContentSearch.SolrProvider.dll,4.0.0.0,4.0.0.0
Sitecore.ContentTagging.Core.dll,1.1.0.0,1.1.0.0
Sitecore.ContentTagging.dll,1.1.0.0,1.1.0.0
Sitecore.ContentTagging.OpenCalais.dll,1.1.0.0,1.1.0.0
Sitecore.ContentTesting.dll,13.0.0.0,13.0.0.0
Sitecore.ContentTesting.Intelligence.dll,13.0.0.0,13.0.0.0
Sitecore.ContentTesting.Model.dll,13.0.0.0,13.0.0.0
Sitecore.ContentTesting.Model.xConnect.dll,13.0.0.0,13.0.0.0
Sitecore.ContentTesting.Mvc.dll,13.0.0.0,13.0.0.0
Sitecore.ContentTesting.Reporting.Model.dll,13.0.0.0,13.0.0.0
Sitecore.ControlPanel.dll,3.0.0.0,3.0.0.0
Sitecore.EDS.Client.dll,7.0.0.0,7.0.0.0
Sitecore.EDS.Core.dll,7.0.0.0,7.0.0.0
Sitecore.EDS.Providers.CustomSMTP.dll,7.0.0.0,7.0.0.0
Sitecore.EDS.Providers.SparkPost.dll,7.0.0.0,7.0.0.0
Sitecore.EDS.SparkPost.ClientServices.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.Activities.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.Application.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.Cd.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.Cm.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.Cm.UI.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.Core.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.ExperienceAnalytics.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.Model.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.Model.Web.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.SampleNewsletter.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.Server.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.XConnect.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.XConnect.Web.dll,7.0.0.0,7.0.0.0
Sitecore.ExM.Framework.dll,7.0.0.0,7.0.0.0
Sitecore.ExperienceAnalytics.Aggregation.dll,4.0.0.0,4.0.0.0
Sitecore.ExperienceAnalytics.Api.dll,4.0.0.0,4.0.0.0
Sitecore.ExperienceAnalytics.Client.dll,4.0.0.0,4.0.0.0
Sitecore.ExperienceAnalytics.Core.dll,4.0.0.0,4.0.0.0
Sitecore.ExperienceAnalytics.ReAggregation.dll,4.0.0.0,4.0.0.0
Sitecore.ExperienceAnalytics.Reduce.dll,4.0.0.0,4.0.0.0
Sitecore.ExperienceContentManagement.Administration.dll,3.0.0.0,3.0.0.0
Sitecore.ExperienceEditor.dll,5.0.0.0,5.0.0.0
Sitecore.ExperienceEditor.Speak.dll,5.0.0.0,5.0.0.0
Sitecore.ExperienceEditor.Speak.Ribbon.dll,5.0.0.0,5.0.0.0
Sitecore.ExperienceExplorer.Analytics.dll,4.0.0.0,4.0.0.0
Sitecore.ExperienceExplorer.Core.dll,4.0.0.0,4.0.0.0
Sitecore.ExperienceExplorer.dll,4.0.0.0,4.0.0.0
Sitecore.ExperienceExplorer.Web.dll,4.0.0.0,4.0.0.0
