
Sitecore XConnect Server
Filename,FileVersion,Version
Sitecore.Framework.Conditions.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Configuration.Abstractions.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Configuration.Common.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Configuration.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Configuration.Extensions.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Messaging.Abstractions.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Messaging.Configuration.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Messaging.Rebus.Azure.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Messaging.Rebus.Configuration.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Messaging.Rebus.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Messaging.Rebus.SqlServer.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Rules.Abstractions.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Rules.Api.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Rules.Core.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Rules.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Rules.Model.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Rules.Registry.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.Rules.Serialization.dll,3.2.0.0,3.2.0.0
Sitecore.Framework.TransientFaultHandling.Abstractions.dll,2.1.0.0,2.1.0.0
Sitecore.Framework.TransientFaultHandling.dll,2.1.0.0,2.1.0.0
Sitecore.Framework.TransientFaultHandling.EntLib.dll,2.1.0.0,2.1.0.0
Sitecore.Framework.TransientFaultHandling.Sql.dll,2.1.0.0,2.1.0.0
Sitecore.ListManagement.XConnect.dll,3.0.0.0,3.0.0.0
Sitecore.Marketing.Automation.Activity.dll,3.0.0.0,3.0.0.0
Sitecore.Marketing.Automation.Models.dll,3.0.0.0,3.0.0.0
Sitecore.Marketing.Core.dll,13.0.0.0,13.0.0.0
Sitecore.Marketing.dll,13.0.0.0,13.0.0.0
Sitecore.Marketing.Operations.Xdb.ReferenceData.dll,13.1.0.0,13.1.0.0
Sitecore.Marketing.Operations.Xdb.ReferenceData.Model.dll,13.1.0.0,13.1.0.0
Sitecore.Marketing.Operations.Xdb.ReferenceData.Service.dll,13.1.0.0,13.1.0.0
Sitecore.Marketing.Taxonomy.dll,13.0.0.0,13.0.0.0
Sitecore.Messaging.GatewayClient.Rest.dll,2.0.0.0,2.0.0.0
Sitecore.Nexus.Licensing.dll,2.0.5.0,2.0.0.0
Sitecore.XConnect.Client.Configuration.XConnect.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Client.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Collection.Model.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Configuration.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.DependencyInjection.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.Diagnostics.ApplicationInsights.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Diagnostics.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Diagnostics.PerformanceCounters.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Logging.Serilog.AppInsights.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.Logging.Serilog.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.Messaging.Azure.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Messaging.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Messaging.GatewayClient.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Messaging.SqlServer.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Search.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Segmentation.Conditions.dll,5.0.0.0,5.0.0.0
Sitecore.XConnect.Segmentation.Configuration.dll,5.0.0.0,5.0.0.0
Sitecore.XConnect.Segmentation.Engine.dll,5.0.0.0,5.0.0.0
Sitecore.XConnect.Segmentation.ExpressionBuilder.Model.dll,5.0.0.0,5.0.0.0
Sitecore.XConnect.Segmentation.Predicates.dll,5.0.0.0,5.0.0.0
Sitecore.XConnect.Segmentation.Predicates.Model.dll,5.0.0.0,5.0.0.0
Sitecore.Xdb.Common.Web.dll,3.0.3.0,3.0.0.0
Sitecore.Xdb.MarketingAutomation.Core.dll,3.1.0.0,3.1.0.0
Sitecore.Xdb.MarketingAutomation.dll,3.0.0.0,3.0.0.0
Sitecore.Xdb.MarketingAutomation.SqlServer.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.ReferenceData.Core.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.ReferenceData.Service.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.ReferenceData.SqlServer.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.Sql.Common.dll,3.0.0.0,3.0.0.0
System.Buffers.dll,4.6.26515.6,4.0.3.0
System.ComponentModel.Annotations.dll,4.6.26515.6,4.2.1.0
System.Configuration.ConfigurationManager.dll,4.6.26515.6,4.0.1.0
System.Data.SqlClient.dll,4.6.26606.5,4.4.0.0
System.Diagnostics.DiagnosticSource.dll,4.6.26515.6,4.0.3.0
System.Interactive.Async.dll,3.1.1.0,3.0.3000.0
System.Interactive.Async.Providers.dll,3.1.1.0,3.0.1000.0
System.Memory.dll,4.6.26606.5,4.0.1.0
System.Net.Http.Formatting.dll,5.2.60510.0,5.2.6.0
System.Numerics.Vectors.dll,4.6.26515.6,4.1.4.0
