sep=,
Filename,Version,FileVersion,InfoVersion
Microsoft.IdentityModel.Protocols.WsFederation.dll,5.2.2.0,5.2.2.50423,5.2.2.50423233010.a68d684f2fb5c199214771e300952345df2fab45
Microsoft.IdentityModel.Tokens.dll,5.2.2.0,5.2.2.50423,5.2.2.50423233010.a68d684f2fb5c199214771e300952345df2fab45
Microsoft.IdentityModel.Tokens.Saml.dll,5.2.2.0,5.2.2.50423,5.2.2.50423233010.a68d684f2fb5c199214771e300952345df2fab45
Microsoft.IdentityModel.Xml.dll,5.2.2.0,5.2.2.50423,5.2.2.50423233010.a68d684f2fb5c199214771e300952345df2fab45
Microsoft.OData.Core.dll,7.5.0.20627,7.5.0.20627,7.5.0.20627
Microsoft.OData.Edm.dll,7.5.0.20627,7.5.0.20627,7.5.0.20627
Microsoft.Owin.dll,4.0.0.0,4.0.4677.103,4.0.0
Microsoft.Owin.Host.SystemWeb.dll,4.0.0.0,4.0.4677.103,4.0.0
Microsoft.Owin.Security.ActiveDirectory.dll,4.0.0.0,4.0.4677.103,4.0.0
Microsoft.Owin.Security.Cookies.dll,4.0.0.0,4.0.4677.103,4.0.0
Microsoft.Owin.Security.dll,4.0.0.0,4.0.4677.103,4.0.0
Microsoft.Owin.Security.Jwt.dll,4.0.0.0,4.0.4677.103,4.0.0
Microsoft.Owin.Security.OAuth.dll,4.0.0.0,4.0.4677.103,4.0.0
Microsoft.Owin.Security.OpenIdConnect.dll,4.0.0.0,4.0.4677.103,4.0.0
Microsoft.Practices.EnterpriseLibrary.Common.dll,6.0.0.0,6.0.1304.0,6.0.1304.0
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.Caching.dll,6.0.0.0,6.0.1304.0,6.0.1304.0
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.Configuration.dll,6.0.0.0,6.0.1304.0,6.0.1304.0
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.Data.dll,6.0.0.0,6.0.1304.1,6.0.1304.1
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.dll,6.0.0.0,6.0.1304.0,6.0.1304.0
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.ServiceBus.dll,6.0.0.0,6.0.1304.0,6.0.1304.0
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.WindowsAzure.Storage.dll,6.0.0.0,6.0.1304.0,6.0.1304.0
Microsoft.Spatial.dll,7.5.0.20627,7.5.0.20627,7.5.0.20627
Microsoft.Web.Infrastructure.dll,1.0.0.0,1.0.20105.407,1.0.20105.407
MongoDB.Bson.dll,2.7.3.0,2.7.3.0,2.7.3+Branch.v2.7.x.Sha.2f1f2be13a23b8520cb9c2ee8439c022f9a03efe
MongoDB.Driver.Core.dll,2.7.3.0,2.7.3.0,2.7.3+Branch.v2.7.x.Sha.2f1f2be13a23b8520cb9c2ee8439c022f9a03efe
MongoDB.Driver.dll,2.7.3.0,2.7.3.0,2.7.3+Branch.v2.7.x.Sha.2f1f2be13a23b8520cb9c2ee8439c022f9a03efe
MongoDB.Driver.Legacy.dll,2.7.3.0,2.7.3.0,2.7.3+Branch.v2.7.x.Sha.2f1f2be13a23b8520cb9c2ee8439c022f9a03efe
Mvp.Xml.dll,2.3.0.0,2.3.0.0,2.3.0.0
Newtonsoft.Json.dll,11.0.0.0,11.0.2.21924,11.0.2
Owin.dll,1.0.0.0,1.0.0.0,1.0
PdfSharp.Charting.dll,1.50.4740.0,1.50.4740.0,1.50.4740.0
PdfSharp.dll,1.50.4740.0,1.50.4740.0,1.50.4740.0
Pipelines.Sockets.Unofficial.dll,1.0.0.0,1.0.7.56431,1.0.7+g6fdcdc49c8
protobuf-net.dll,2.0.0.668,2.0.0.668,2.0.0.668
RazorGenerator.Mvc.dll,2.0.0.0,2.0.0.0,2.4.9
Rebus.AzureServiceBus.dll,6.0.4.0,6.0.4.0,6.0.4.0
Rebus.dll,5.0.1.0,5.0.1.0,5.0.1+5fe080a327e8afc516e569ae087ee8bb261a4e04
Rebus.SqlServer.dll,5.0.3.0,5.0.3.0,5.0.3.0
