sep=,
Filename,Version,FileVersion,InfoVersion
Microsoft.SqlServer.Dac.Extensions.dll,15.0.0.0,15.0.4538.1,15.0.4538.1
Microsoft.SqlServer.Management.AlwaysEncrypted.AzureKeyVaultProvider.dll,14.0.0.0,14.0.16107.0 ((SSMS_Main).170315-1904),14.0.16107.0
Microsoft.SqlServer.TransactSql.ScriptDom.dll,15.0.0.0,15.0.4538.1,15.0.4538.1
Microsoft.SqlServer.Types.dll,15.0.0.0,2017.0150.0002.153 ((SQL_Main).171024-1822),15.0.2.153
MongoDB.Bson.dll,2.7.3.0,2.7.3.0,2.7.3+Branch.v2.7.x.Sha.2f1f2be13a23b8520cb9c2ee8439c022f9a03efe
MongoDB.Driver.Core.dll,2.7.3.0,2.7.3.0,2.7.3+Branch.v2.7.x.Sha.2f1f2be13a23b8520cb9c2ee8439c022f9a03efe
MongoDB.Driver.dll,2.7.3.0,2.7.3.0,2.7.3+Branch.v2.7.x.Sha.2f1f2be13a23b8520cb9c2ee8439c022f9a03efe
Newtonsoft.Json.dll,11.0.0.0,11.0.2.21924,11.0.2
Owin.dll,1.0.0.0,1.0,1.0
Polly.dll,6.0.0.0,6.0.1.0,6.0.1.0
Proto.Actor.dll,0.2.0.0,0.2.0.0,0.2.0
Proto.Mailbox.dll,0.2.0.0,0.2.0.0,0.2.0
Proto.Schedulers.SimpleScheduler.dll,0.2.0.0,0.2.0.0,0.2.0
Rebus.AzureServiceBus.dll,6.0.7.0,6.0.7.0,6.0.7.0
Rebus.dll,5.0.1.0,5.0.1.0,5.0.1+5fe080a327e8afc516e569ae087ee8bb261a4e04
Rebus.ServiceProvider.dll,3.0.0.0,3.0.0.0,3.0.0.0
Rebus.SqlServer.dll,5.0.3.0,5.0.3.0,5.0.3.0
Remotion.Linq.dll,2.2.0.0,2.2.0.30000,2.2.0+Release.Commit-9be8fec0618f02a0e66edb058c390c8fa40d92a7
Serilog.dll,2.0.0.0,2.6.0.0,2.6.0-master-9a3b037
Serilog.Extensions.Logging.dll,2.0.0.0,2.0.2.0,2.0.2
Serilog.Settings.Configuration.dll,2.6.1.0,2.6.1.0,2.6.1
Serilog.Sinks.ApplicationInsights.dll,2.6.0.0,2.6.0.0,2.6.0
Serilog.Sinks.ColoredConsole.dll,3.0.1.0,3.0.1.0,3.0.1
Serilog.Sinks.Console.dll,3.0.1.0,3.0.1.0,3.0.1-master-70dd370
Serilog.Sinks.File.dll,2.0.0.0,4.0.0.0,4.0.0-master-6d463c0
Serilog.Sinks.RollingFile.dll,2.0.0.0,3.3.0.0,3.3.0
Serilog.Sinks.Trace.dll,2.0.0.0,2.1.0.0,2.1.0
Sitecore.ContentTesting.ML.Core.Abstractions.dll,4.0.0.0,4.0.0.0,4.0.0-r00082.1007
Sitecore.ContentTesting.ML.Core.dll,4.0.0.0,4.0.0.0,4.0.0-r00082.1007
Sitecore.ContentTesting.ML.dll,4.0.0.0,4.0.0.0,4.0.0-r00082.1007
Sitecore.ContentTesting.Model.xConnect.dll,16.0.0.0,16.0.0.0,16.0.0-r02761.8982
Sitecore.ContentTesting.Reporting.Model.dll,16.0.0.0,16.0.0.0,16.0.0-r02761.8952
Sitecore.EmailCampaign.Activities.dll,10.0.0.0,10.0.0.0,10.0.0-r02206.9095
Sitecore.EmailCampaign.Core.dll,10.0.0.0,10.0.0.0,10.0.0-r02206.9095
Sitecore.EmailCampaign.Model.dll,10.0.0.0,10.0.0.0,10.0.0-r02206.9095
Sitecore.EmailCampaign.XConnect.dll,10.0.0.0,10.0.0.0,10.0.0-r02206.9095
Sitecore.Framework.Common.Abstractions.dll,4.0.0.0,4.0.0.0,4.0.0
Sitecore.Framework.Common.dll,4.0.0.0,4.0.0.0,4.0.0
Sitecore.Framework.Common.WildcardMatch.dll,4.0.0.0,4.0.0.0,4.0.0
Sitecore.Framework.Conditions.dll,4.2.0.0,4.2.0.0,4.2.0
Sitecore.Framework.Configuration.Abstractions.dll,5.4.0.0,5.4.0.0,5.4.0
Sitecore.Framework.Configuration.Common.dll,5.4.0.0,5.4.0.0,5.4.0
Sitecore.Framework.Configuration.dll,5.4.0.0,5.4.0.0,5.4.0
Sitecore.Framework.Configuration.Extensions.dll,5.4.0.0,5.4.0.0,5.4.0
Sitecore.Framework.Configuration.Xml.dll,5.4.0.0,5.4.0.0,5.4.0
Sitecore.Framework.Messaging.Abstractions.dll,4.1.0.0,4.1.0.0,4.1.0
Sitecore.Framework.Messaging.Configuration.dll,4.1.0.0,4.1.0.0,4.1.0
Sitecore.Framework.Messaging.Rebus.Azure.dll,4.1.0.0,4.1.0.0,4.1.0
Sitecore.Framework.Messaging.Rebus.Configuration.dll,4.1.0.0,4.1.0.0,4.1.0
Sitecore.Framework.Messaging.Rebus.dll,4.1.0.0,4.1.0.0,4.1.0
Sitecore.Framework.Messaging.Rebus.SqlServer.dll,4.1.0.0,4.1.0.0,4.1.0
Sitecore.Framework.Rules.Abstractions.dll,4.0.0.0,4.0.0.0,4.0.0
Sitecore.Framework.Rules.Api.dll,4.0.0.0,4.0.0.0,4.0.0
Sitecore.Framework.Rules.Core.dll,4.0.0.0,4.0.0.0,4.0.0
Sitecore.Framework.Rules.dll,4.0.0.0,4.0.0.0,4.0.0
Sitecore.Framework.Rules.Model.dll,4.0.0.0,4.0.0.0,4.0.0
Sitecore.Framework.Rules.Registry.dll,4.0.0.0,4.0.0.0,4.0.0
Sitecore.Framework.Rules.Serialization.dll,4.0.0.0,4.0.0.0,4.0.0
Sitecore.Framework.TransientFaultHandling.Abstractions.dll,2.3.0.0,2.3.0.0,2.3.0
Sitecore.Framework.TransientFaultHandling.dll,2.3.0.0,2.3.0.0,2.3.0
Sitecore.Framework.TransientFaultHandling.EntLib.dll,2.3.0.0,2.3.0.0,2.3.0
Sitecore.Framework.TransientFaultHandling.Sql.dll,2.3.0.0,2.3.0.0,2.3.0
Sitecore.ListManagement.XConnect.dll,6.0.0.0,6.0.0.0,6.0.0-r02017.5991
Sitecore.Marketing.Automation.Activity.dll,6.0.0.0,6.0.0.0,6.0.0-r00780.967
Sitecore.Marketing.Automation.Models.dll,6.0.0.0,6.0.0.0,6.0.0-r00780.967
Sitecore.Marketing.Core.dll,16.0.0.0,16.0.0.0,16.0.0-r00282.557
Sitecore.Marketing.dll,16.0.0.0,16.0.0.0,16.0.0-r00282.557
Sitecore.Marketing.Operations.Xdb.ReferenceData.dll,16.0.0.0,16.0.0.0,16.0.0-r00282.557
Sitecore.Marketing.Operations.Xdb.ReferenceData.Model.dll,16.0.0.0,16.0.0.0,16.0.0-r00282.557
Sitecore.Marketing.Operations.Xdb.ReferenceData.Service.dll,16.0.0.0,16.0.0.0,16.0.0-r00282.557
Sitecore.Marketing.Taxonomy.dll,16.0.0.0,16.0.0.0,16.0.0-r00282.557
Sitecore.MRSClient.dll,2.1.0.0,2.1.0.0,2.1.0-r00029.714
Sitecore.Nexus.Consumption.dll,1.0.0.0,1.2.0.0,1.2.0-r00135
Sitecore.Nexus.Licensing.dll,2.0.0.0,2.0.6.0,2.0.6-r00062
Sitecore.Processing.Common.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Common.Sql.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Cursors.Abstractions.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Cursors.Sql.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Engine.Abstractions.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Engine.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Engine.ML.Abstractions.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Engine.ML.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Engine.Projection.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Engine.Scripting.Abstractions.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Engine.Scripting.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
Sitecore.Processing.Engine.Scripting.Mrs.dll,4.0.0.0,4.0.0.0,4.0.0-r00241.5710
